accuracy,balanced_accuracy,precision_unhealthy,recall_unhealthy,f1_unhealthy,f1_macro,roc_auc,pr_auc,brier_score,cohen_kappa,runtime_train_s,runtime_pred_s,tn,fp,fn,tp,threshold_used,location,model,config,eval_type,fold,gsmote
0.907185628742515,0.5,0.0,0.0,0.0,0.47566718995290425,0.7435856488874694,0.2784927132769799,0.36245417440119765,0.0,3.522541046142578,0.40123891830444336,303.0,0.0,31.0,0.0,0.897,Serting,RandomForest,default,holdout,-1.0,True
0.8922155688622755,0.6365378473331204,0.4,0.3225806451612903,0.35714285714285715,0.6491596638655462,0.7388480783562227,0.2677110201343319,0.3904003469159676,0.2990556138509969,3.239208698272705,0.40109682083129883,288.0,15.0,21.0,10.0,0.8361031746031748,Serting,RandomForest,tuned,holdout,-1.0,True
0.907185628742515,0.5,0.0,0.0,0.0,0.47566718995290425,0.6907271372298521,0.22094715782970292,0.1180510779852349,0.0,1.7113628387451172,0.007672548294067383,303.0,0.0,31.0,0.0,0.9974103569984436,Serting,XGBoost,default,holdout,-1.0,True
0.907185628742515,0.5,0.0,0.0,0.0,0.47566718995290425,0.724475673373789,0.24288318874958795,0.1131530650042452,0.0,1.7049760818481445,0.006987810134887695,303.0,0.0,31.0,0.0,0.9896028637886047,Serting,XGBoost,tuned,holdout,-1.0,True
0.907185628742515,0.5,0.0,0.0,0.0,0.47566718995290425,0.7509315447673799,0.2556862964200616,0.08098078931653892,0.0,2.826413631439209,0.47128725051879883,303.0,0.0,31.0,0.0,0.7733304500579834,Serting,TabFM,standard,holdout,-1.0,True
0.907185628742515,0.5,0.0,0.0,0.0,0.47566718995290425,0.760566379218567,0.27750312801058186,0.08002284334687787,0.0,19.67769503593445,0.590662956237793,303.0,0.0,31.0,0.0,0.877103216766733,Serting,TabFM,ensemble,holdout,-1.0,True
0.8996539792387543,0.5110689437065149,0.18181818181818182,0.0392156862745098,0.06451612903225806,0.505749837825087,0.554172712728355,0.11064561713569042,0.4530722625432526,0.03428011753183158,3.3783516883850098,0.38836216926574707,518.0,9.0,49.0,2.0,0.9125,Serting,RandomForest,default,spatial_cv,0.0,True
0.9155470249520153,0.49074074074074076,0.0,0.0,0.0,0.4779559118236473,0.5107289829512052,0.07270446417443023,0.3856556564299424,-0.02825872432044485,3.2703473567962646,0.40577268600463867,477.0,9.0,35.0,0.0,0.904,Serting,RandomForest,default,spatial_cv,1.0,True
0.8802816901408451,0.5063529411764706,0.5,0.014705882352941176,0.02857142857142857,0.48239077995175556,0.5433676470588236,0.15446488107718442,0.3896189102112676,0.021880064829821855,3.175442695617676,0.3923959732055664,499.0,1.0,67.0,1.0,0.9165,Serting,RandomForest,default,spatial_cv,2.0,True
0.7560553633217993,0.5031625553447185,0.09090909090909091,0.19607843137254902,0.12422360248447205,0.4912575298854521,0.56606020017115,0.11239698184201179,0.4787712677540941,0.004154549231408455,3.2651844024658203,0.402756929397583,427.0,100.0,41.0,10.0,0.8428730158730159,Serting,RandomForest,tuned,spatial_cv,0.0,True
0.8445297504798465,0.5322163433274545,0.10344827586206896,0.17142857142857143,0.12903225806451613,0.5218396274516469,0.5060552616108172,0.07728405930028731,0.41854629088929446,0.04937715405581966,3.3502285480499268,0.38993191719055176,434.0,52.0,29.0,6.0,0.8194321428571432,Serting,RandomForest,tuned,spatial_cv,1.0,True
0.8133802816901409,0.5064705882352941,0.1346153846153846,0.10294117647058823,0.11666666666666667,0.5061679790026247,0.5449705882352941,0.15271137549773328,0.4112672284021429,0.014405447878470423,3.7471392154693604,0.46405768394470215,455.0,45.0,61.0,7.0,0.8482511904761909,Serting,RandomForest,tuned,spatial_cv,2.0,True
0.9117647058823529,0.5,0.0,0.0,0.0,0.47692307692307695,0.5562748818692562,0.12935134784954871,0.1793627988689662,0.0,1.65549898147583,0.007356166839599609,527.0,0.0,51.0,0.0,0.9971762895584106,Serting,XGBoost,default,spatial_cv,0.0,True
0.9366602687140115,0.5285714285714286,1.0,0.05714285714285714,0.10810810810810811,0.5376361436062929,0.49465020576131685,0.1263053653037594,0.1619192084194942,0.1015833202696349,1.6869192123413086,0.00747370719909668,486.0,0.0,33.0,2.0,0.9976246953010559,Serting,XGBoost,default,spatial_cv,1.0,True
0.8802816901408451,0.5,0.0,0.0,0.0,0.4681647940074906,0.5155294117647059,0.14121091614464046,0.17111149833192005,0.0,1.700852870941162,0.0075800418853759766,500.0,0.0,68.0,0.0,0.997648298740387,Serting,XGBoost,default,spatial_cv,2.0,True
0.9048442906574394,0.49620493358633777,0.0,0.0,0.0,0.4750227066303361,0.525467872158351,0.11952614962234451,0.22437495529867946,-0.013001083423618498,1.549565315246582,0.006678104400634766,523.0,4.0,51.0,0.0,0.9877733588218689,Serting,XGBoost,tuned,spatial_cv,0.0,True
0.927063339731286,0.5101704879482657,0.2,0.02857142857142857,0.05,0.5060379241516966,0.49241622574955907,0.09576501585609584,0.19018244091720304,0.033772571986334654,1.5967187881469727,0.006749868392944336,482.0,4.0,34.0,1.0,0.9908106327056885,Serting,XGBoost,tuned,spatial_cv,1.0,True
0.8785211267605634,0.499,0.0,0.0,0.0,0.4676663542642924,0.5174411764705882,0.13542077717922826,0.19574093043931184,-0.003482179434657784,1.5677013397216797,0.006727695465087891,499.0,1.0,68.0,0.0,0.9901346564292908,Serting,XGBoost,tuned,spatial_cv,2.0,True
0.9117647058823529,0.5,0.0,0.0,0.0,0.47692307692307695,0.6364363582245043,0.1729091451957862,0.07922348619872602,0.0,2.339380979537964,0.6813299655914307,527.0,0.0,51.0,0.0,0.8430068492889404,Serting,TabFM,standard,spatial_cv,0.0,True
0.9328214971209213,0.5,0.0,0.0,0.0,0.4826216484607746,0.4826572604350382,0.06751930573499486,0.07219568032940693,0.0,2.491356134414673,0.6859474182128906,486.0,0.0,35.0,0.0,0.8432938456535339,Serting,TabFM,standard,spatial_cv,1.0,True
0.8802816901408451,0.5,0.0,0.0,0.0,0.4681647940074906,0.5537794117647059,0.14082341605922272,0.11310207318587996,0.0,2.3392598628997803,0.6803817749023438,500.0,0.0,68.0,0.0,0.7872777581214905,Serting,TabFM,standard,spatial_cv,2.0,True
0.9117647058823529,0.5,0.0,0.0,0.0,0.47692307692307695,0.6023737768352122,0.12669651502970053,0.08225962878234783,0.0,15.976330995559692,0.8650686740875244,527.0,0.0,51.0,0.0,0.8910495022795141,Serting,TabFM,ensemble,spatial_cv,0.0,True
0.9328214971209213,0.5,0.0,0.0,0.0,0.4826216484607746,0.49994121105232214,0.07026634386259017,0.07248155848095951,0.0,16.810571908950806,0.8719322681427002,486.0,0.0,35.0,0.0,0.9061697643152031,Serting,TabFM,ensemble,spatial_cv,1.0,True
0.8802816901408451,0.5,0.0,0.0,0.0,0.4681647940074906,0.5695,0.15341153883426492,0.11269130571531585,0.0,16.359690189361572,0.8669562339782715,500.0,0.0,68.0,0.0,0.8701670080017851,Serting,TabFM,ensemble,spatial_cv,2.0,True
